net,ref,pin,pin_name,note
IB.8,D6,8,B7,drawn /4
XS1_AD08,D7,19,A0,
XS1_AD09,D7,18,A1,
XS1_AD10,D7,17,A2,
XS1_AD11,D7,16,A3,
XS1_AD12,D7,15,A4,
XS1_AD13,D7,14,A5,
XS1_AD14,D7,13,A6,
XS1_AD15,D7,12,A7,
IB.9,D7,1,B0,drawn /3 (but D7+D13+D23+D14 = 4 pins)
IB.10,D7,2,B1,drawn /3 (but D7+D13+D23+D14 = 4 pins)
IB.11,D7,3,B2,drawn /3 (but D7+D13+D23+D14 = 4 pins)
IB.12,D7,4,B3,drawn /3 (but D7+D13+D23+D14 = 4 pins)
IB.13,D7,5,B4,drawn /3 (but D7+D13+D23+D14 = 4 pins)
IB.14,D7,6,B5,drawn /3 (but D7+D13+D23+D14 = 4 pins)
IB.15,D7,7,B6,drawn /3 (but D7+D13+D23+D14 = 4 pins)
IB.16,D7,8,B7,drawn /3 (but D7+D13+D23+D14 = 4 pins)
D16_2_OUT,D6,9,E1,by eye: junction with the D7.9 wire
D9_Y7,D6,11,E2,by eye: junction with the D7.11 wire
D16_2_OUT,D7,9,E1,wire-traced: <- D16.2 out (pin 6)
D9_Y7,D7,11,E2,wire-traced: <- D9.3 (= МАЦВ re-buffered)
# D12/D13 (КР559ИП13): IB <-> memory data bus MD; E1 (9) <- IB.19 = D41.3 out, E2 (11) <- IB.18 = SEL.51 = D24.2 out
IB.1,D12,1,A0,
IB.2,D12,2,A1,
IB.3,D12,3,A2,
IB.4,D12,4,A3,
IB.5,D12,5,A4,
IB.6,D12,6,A5,
IB.7,D12,7,A6,
IB.8,D12,8,A7,
MD.22,D12,19,B0,
MD.23,D12,18,B1,
MD.24,D12,17,B2,
MD.25,D12,16,B3,
MD.26,D12,15,B4,
MD.27,D12,14,B5,
MD.28,D12,13,B6,
MD.29,D12,12,B7,
IB.9,D13,1,A0,
IB.10,D13,2,A1,
IB.11,D13,3,A2,
IB.12,D13,4,A3,
IB.13,D13,5,A4,
IB.14,D13,6,A5,
IB.15,D13,7,A6,
IB.16,D13,8,A7,
MD.30,D13,19,B0,
MD.31,D13,18,B1,
MD.32,D13,17,B2,
MD.33,D13,16,B3,
MD.34,D13,15,B4,
MD.35,D13,14,B5,
MD.36,D13,13,B6,
MD.37,D13,12,B7,
IB.19,D12,9,E1,
IB.18,D12,11,E2,
IB.19,D13,9,E1,
IB.18,D13,11,E2,
SEL.44,D24,4,IN,D24.2 (OR) <- net 44
Y3,D24,5,IN,wire-traced: D24.2 <- Y3 (D15.12), wire crosses the bus-box border
IB.18,D24,6,OUT,D24.2 -> net 18 = SEL.51 (D12/D13 E2)
SEL.42,D41,9,IN,D41.3 (OR) <- net 42
Y7,D41,10,IN,wire-traced: D41.3 <- Y7 (D15.7), wire crosses the bus-box border
IB.19,D41,8,OUT,D41.3 -> net 19 (D12/D13 E1)
# D22/D23 (КР580ИР82): latched address -> IB for the ПВК (Y2); C (11) pulled to +5V via R1 = transparent, EØ (9) common strobe
LA.21,D22,1,DI0,A0 latched
LA.1,D22,2,DI1,A1
LA.2,D22,3,DI2,A2
LA.3,D22,4,DI3,A3
LA.4,D22,5,DI4,A4
LA.5,D22,6,DI5,A5
LA.6,D22,7,DI6,A6
LA.7,D22,8,DI7,A7
IB.1,D22,19,DO0,
IB.2,D22,18,DO1,
IB.3,D22,17,DO2,
IB.4,D22,16,DO3,
IB.5,D22,15,DO4,
IB.6,D22,14,DO5,
IB.7,D22,13,DO6,
IB.8,D22,12,DO7,
LA.8,D23,1,DI0,A8
LA.9,D23,2,DI1,A9
LA.10,D23,3,DI2,A10
LA.11,D23,4,DI3,A11
LA.12,D23,5,DI4,A12
LA.13,D23,6,DI5,A13
LA.14,D23,7,DI6,A14
LA.15,D23,8,DI7,A15
IB.9,D23,19,DO0,
IB.10,D23,18,DO1,
IB.11,D23,17,DO2,
IB.12,D23,16,DO3,
IB.13,D23,15,DO4,
IB.14,D23,14,DO5,
IB.15,D23,13,DO6,
IB.16,D23,12,DO7,
R1_C,D22,11,STB,+5V via R1 (transparent)
R1_C,D23,11,STB,
G_D22_OE,D22,9,OE,? common with D23.9; expected Y2-derived
G_D22_OE,D23,9,OE,?
# D14 (КР580ИР82) interrupt vector: DI <- IB.9-16 (AD08-15 from the ПВК), DO -> MD.22-29 (read by the 8086 on INTA)
IB.9,D14,1,DI0,
IB.10,D14,2,DI1,
IB.11,D14,3,DI2,
IB.12,D14,4,DI3,
IB.13,D14,5,DI4,
IB.14,D14,6,DI5,
IB.15,D14,7,DI6,
IB.16,D14,8,DI7,
MD.22,D14,19,DO0,
MD.23,D14,18,DO1,
MD.24,D14,17,DO2,
MD.25,D14,16,DO3,
MD.26,D14,15,DO4,
MD.27,D14,14,DO5,
MD.28,D14,13,DO6,
MD.29,D14,12,DO7,
D14_OE,D14,9,OE,wire-traced: same net as D31.4.13 (both inputs; driver not yet found)
D31_1_OUT,D14,11,STB,wire-traced: <- D31.1 out (pin 3)
# D9 (К555АП3 = 74LS240 inverting octal buffer): A 2,4,6,8,11,13,15,17; Y 18,16,14,12,9,7,5,3; enables 1,19 -> 0В
MOBM,D9,2,A0,XS1.17 МОБМ
MD,D9,4,A1,XS1.18 МD
MACV,D9,6,A2,XS1.19 МАЦВ
MDCHT,D9,8,A3,XS1.20 МDЧТ
VAD,D9,11,A4,XS1.21 ВАД
PMV,D9,13,A5,XS1.22 ПМВ
MOBM_N,D9,15,A6,wire-traced: <- D9.18 (outer loop)
MACV_N,D9,17,A7,wire-traced: <- D9.14 (inner loop)
MOBM_N,D9,18,Y0,-> D16.1.1 + D9.15 (traced)
MD_N,D9,16,Y1,-> D15.6 / D17.3.4 / D36.11 (traced)
MACV_N,D9,14,Y2,-> D9.17 (traced)
MDCHT_N,D9,12,Y3,-> D16.2.5 (traced)
VAD_N,D9,9,Y4,-> D8.5 (traced)
PMV_N,D9,7,Y5,-> D16.1.2 / D16.2.4 / D17.3.5 (traced)
D9_Y6,D9,5,Y6,= МОБМ re-buffered -> D8 C1/C2 (traced)
D9_Y7,D9,3,Y7,= МАЦВ re-buffered -> D7.11/D6.11 E2 (traced)
GND,D9,1,E1,
GND,D9,19,E2,
# D28 (К155ЛА4 3-in NAND) next to D21: inputs from the local-bus group's nets 28/29/30 (unidentified labels)
G28,D28,5,IN,D28.1 <- label 28
G29,D28,4,IN,D28.1 <- label 29
G30,D28,3,IN,D28.1 <- label 30
G_D28_6,D28,6,OUT,D28.1 -> ?
G_D28_1,D28,1,IN,D28.2 ?
G_D28_2,D28,2,IN,D28.2 ?
G30,D28,13,IN,D28.2 <- label 30 (junction)
G_D28_12,D28,12,OUT,D28.2 -> ?
G_D28_11,D28,11,IN,D28.3 ?
G28,D28,9,IN,D28.3 <- label 28
G29,D28,10,IN,D28.3 <- label 29
G_D28_8,D28,8,OUT,D28.3 -> ?
# --- interface glue gates and status triggers (wire-traced on л.1 lower half; 'frame' = wire crosses the bus-box border) ---
# D16 К155ЛА3, D17 К155ЛА13 (open-collector NAND), D31 К155ЛА3, D30 К155ТМ2 (two D triggers: R S D C Q; labels read at 4x), D80.1 = ЛН1 inverter (label smudged; unit assumed)
MOBM_N,D16,1,IN,D16.1 <- D9.18
PMV_N,D16,2,IN,D16.1 <- D9.7
D16_1_OUT,D16,3,OUT,D16.1 -> D5.18 (test ROM OE)
MDCHT_N,D16,5,IN,D16.2 <- D9.12
PMV_N,D16,4,IN,D16.2 <- D9.7
D16_2_OUT,D16,6,OUT,D16.2 -> D7.9/D6.9 (E1)
Y5,D16,9,IN,D16.3 <- Y5
G_D16_10,D16,10,IN,D16.3 ? wire not followed
G_D16_8,D16,8,OUT,D16.3 -> ? (output bubble; stub not detected)
MD_N,D17,4,IN,D17.3 <- D9.16
PMV_N,D17,5,IN,D17.3 <- D9.7
OPV,D17,6,OUT,D17.3 (open-collector) -> bottom bus line label 26 (XS1.26 ОПВ) read at 3x
Y4,D3,5,IN,D3.3 <- Y4
G_D3_6,D3,6,OUT,D3.3 -> ? (NMI to D10.17 expected)
D30_R,D30,1,R,D30.1 R: same net as D30.2.10 (S) and D35.2.12 (D); frame
IB.4,D30,2,D,D30.1 D <- bus label 4 (wire ends at the bus-box border next to label 4) ?
Y6,D30,3,C,D30.1 clock <- Y6
D30_S,D30,4,S,D30.1 S: same net as D31.4.12; frame
D30_1_Q,D30,6,Q,D30.1 Q -> D36.7
D30_R,D30,10,S,D30.2 S
G_D30_12,D30,12,D,D30.2 D <- bus-box bottom label (6?) ?
Y6,D30,11,C,D30.2 clock <- Y6
D31_4_OUT,D30,13,R,D30.2 R <- D31.4 out
D30_2_Q,D30,9,Q,D30.2 Q -> D36.4
Y6,D80,1,IN,D80.1 <- Y6
Y6_N,D80,2,OUT,D80.1 -> D31.1.2 by eye (bubble; stub not detected)
Y6_N,D31,2,IN,D31.1 <- D80.1 out (by eye)
G_D31_1,D31,1,IN,D31.1 ? wire to the bus-box bottom (label 17/6?)
D31_1_OUT,D31,3,OUT,D31.1 -> D14.11 (C)
D14_OE,D31,13,IN,D31.4 <- same net as D14.9
D30_S,D31,12,IN,D31.4 <- same net as D30.1.4
D31_4_OUT,D31,11,OUT,D31.4 -> D30.2.13
G_D31_9,D31,9,IN,D31.3 ? wire from above
MUST,D31,10,IN,D31.3 <- bottom bus line label 23 (XS1.23 МУСТ)
G_D31_8,D31,8,OUT,D31.3 -> ? (up, right of the gate)
D30_R,D35,12,D,D35.2 D
G_D35_11,D35,11,C,D35.2 C ?
G_D35_10,D35,10,S,D35.2 S ? wire goes up
G_D35_13,D35,13,R,D35.2 R ? wire goes up
G_D35_9,D35,9,Q,D35.2 Q -> toward S4/S5 ?
# --- passive parts, jumpers and the crystal (values from ПЭ3, connections from the drawing; '?' = other end not followed) ---
# ПЭ3: R1,R2 510; R3-R8,R10-R12,R14-R16,R32 1k; R9,R13 20k; R17-R31 330 (С2-23 0.125 W); C2 1000p; C3,C4 470u (К50-24); C1,C5-C66 0.047u (К10-17); BQ1 РК169МА-6АН-15М7 15 MHz; S1-S5 slot-address switches (ТО)
+5V,R1,1,1,
R1_C,R1,2,2,D22/D23 C pull-up (drawn R1 at D23.11; ПЭ3 lists R1 in the synchronizer - label to re-check)
+5V,R6,1,1,
CEN,R6,2,2,D18 CEN pull-up
+5V,R11,1,1,
G_R11,R11,2,2,near D38 - other end not followed ?
+5V,R12,1,1,
D29_R,R12,2,2,D29.2 R pull-up
+5V,R13,1,1,
D29_RC,R13,2,2,D29.2 RC (10 us refresh period with C2)
D29_C,C2,1,1,D29.2 C (pin 6)
D29_RC,C2,2,2,D29.2 RC (pin 7)
D44_S12,R14,1,1,D44 S1/S2
G_D44_22,R14,2,2,the line that also reaches D44 pin 22 ?
+5V,R15,1,1,
R15_C,R15,2,2,D45/D46 C pull-up
+5V,R17,1,1,
SQ.1,R17,2,2,
+5V,R18,1,1,
SQ.2,R18,2,2,
+5V,R19,1,1,
SQ.3,R19,2,2,
+5V,R20,1,1,
D44_Q0,R20,2,2,
+5V,R21,1,1,
D44_Q1,R21,2,2,
+5V,R22,1,1,
D44_Q2,R22,2,2,
+5V,R23,1,1,
D44_Q3,R23,2,2,
+5V,R24,1,1,
D44_Q4,R24,2,2,
+5V,R25,1,1,
D44_Q5,R25,2,2,
+5V,R26,1,1,
D44_Q6,R26,2,2,
+5V,R27,1,1,
D44_Q7,R27,2,2,
+5V,R28,1,1,
D47_Q0,R28,2,2,
+5V,R29,1,1,
SEL.46,R29,2,2,
+5V,R30,1,1,
SEL.45,R30,2,2,
+5V,R31,1,1,
SEL.47,R31,2,2,
+5V,R32,1,1,
G_D48_1,R32,2,2,near D48.1 - D48.1 R pull-up expected ?
X1,BQ1,1,1,D4 X1
X2,BQ1,2,2,D4 X2
CLK,S1,1,1,jumper D4.8 -> D10.19 (closed)
CLK,S1,2,2,
READY,S2,1,1,jumper D4.5 -> D10.22
READY,S2,2,2,
RESET,S3,1,1,jumper D4.10 -> D10.21
RESET,S3,2,2,
G_S4_1,S4,1,1,slot-address switch (ТО); wires in the D35.2 area not followed ?
G_S4_2,S4,2,2,?
G_S5_1,S5,1,1,slot-address switch ?
G_S5_2,S5,2,2,?
+5V,C3,1,1,decoupling
GND,C3,2,2,
+5V,C4,1,1,decoupling
GND,C4,2,2,
+5V,C5,1,1,decoupling
GND,C5,2,2,
+5V,C6,1,1,decoupling
GND,C6,2,2,
+5V,C7,1,1,decoupling
GND,C7,2,2,
+5V,C8,1,1,decoupling
GND,C8,2,2,
+5V,C9,1,1,decoupling
GND,C9,2,2,
+5V,C10,1,1,decoupling
GND,C10,2,2,
+5V,C11,1,1,decoupling
GND,C11,2,2,
+5V,C12,1,1,decoupling
GND,C12,2,2,
+5V,C13,1,1,decoupling
GND,C13,2,2,
+5V,C14,1,1,decoupling
GND,C14,2,2,
+5V,C15,1,1,decoupling
GND,C15,2,2,
+5V,C16,1,1,decoupling
GND,C16,2,2,
+5V,C17,1,1,decoupling
GND,C17,2,2,
+5V,C18,1,1,decoupling
GND,C18,2,2,
+5V,C19,1,1,decoupling
GND,C19,2,2,
+5V,C20,1,1,decoupling
GND,C20,2,2,
+5V,C21,1,1,decoupling
GND,C21,2,2,
+5V,C22,1,1,decoupling
GND,C22,2,2,
+5V,C23,1,1,decoupling
GND,C23,2,2,
+5V,C24,1,1,decoupling
GND,C24,2,2,
+5V,C25,1,1,decoupling
GND,C25,2,2,
+5V,C26,1,1,decoupling
GND,C26,2,2,
+5V,C27,1,1,decoupling
GND,C27,2,2,
+5V,C28,1,1,decoupling
GND,C28,2,2,
+5V,C29,1,1,decoupling
GND,C29,2,2,
+5V,C30,1,1,decoupling
GND,C30,2,2,
+5V,C31,1,1,decoupling
GND,C31,2,2,
+5V,C32,1,1,decoupling
GND,C32,2,2,
+5V,C33,1,1,decoupling
GND,C33,2,2,
+5V,C34,1,1,decoupling
GND,C34,2,2,
+5V,C35,1,1,decoupling
GND,C35,2,2,
+5V,C36,1,1,decoupling
GND,C36,2,2,
+5V,C37,1,1,decoupling
GND,C37,2,2,
+5V,C38,1,1,decoupling
GND,C38,2,2,
+5V,C39,1,1,decoupling
GND,C39,2,2,
+5V,C40,1,1,decoupling
GND,C40,2,2,
+5V,C41,1,1,decoupling
GND,C41,2,2,
+5V,C42,1,1,decoupling
GND,C42,2,2,
+5V,C43,1,1,decoupling
GND,C43,2,2,
+5V,C44,1,1,decoupling
GND,C44,2,2,
+5V,C45,1,1,decoupling
GND,C45,2,2,
+5V,C46,1,1,decoupling
GND,C46,2,2,
+5V,C47,1,1,decoupling
GND,C47,2,2,
+5V,C48,1,1,decoupling
GND,C48,2,2,
+5V,C49,1,1,decoupling
GND,C49,2,2,
+5V,C50,1,1,decoupling
GND,C50,2,2,
+5V,C51,1,1,decoupling
GND,C51,2,2,
+5V,C52,1,1,decoupling
GND,C52,2,2,
+5V,C53,1,1,decoupling
GND,C53,2,2,
+5V,C54,1,1,decoupling
GND,C54,2,2,
+5V,C55,1,1,decoupling
GND,C55,2,2,
+5V,C56,1,1,decoupling
GND,C56,2,2,
+5V,C57,1,1,decoupling
GND,C57,2,2,
+5V,C58,1,1,decoupling
GND,C58,2,2,
+5V,C59,1,1,decoupling
GND,C59,2,2,
+5V,C60,1,1,decoupling
GND,C60,2,2,
+5V,C61,1,1,decoupling
GND,C61,2,2,
+5V,C62,1,1,decoupling
GND,C62,2,2,
+5V,C63,1,1,decoupling
GND,C63,2,2,
+5V,C64,1,1,decoupling
GND,C64,2,2,
+5V,C65,1,1,decoupling
GND,C65,2,2,
+5V,C66,1,1,decoupling
GND,C66,2,2,
G_C1,C1,1,1,reset RC (D4 RES) ?
GND,C1,2,2,?
# --- XS1 system-bus connector ---
XS1_AD00,XS1,1,AD00,
XS1_AD01,XS1,2,AD01,
XS1_AD02,XS1,3,AD02,
XS1_AD03,XS1,4,AD03,
XS1_AD04,XS1,5,AD04,
XS1_AD05,XS1,6,AD05,
XS1_AD06,XS1,7,AD06,
XS1_AD07,XS1,8,AD07,
XS1_AD08,XS1,9,AD08,
XS1_AD09,XS1,10,AD09,
XS1_AD10,XS1,11,AD10,
XS1_AD11,XS1,12,AD11,
XS1_AD12,XS1,13,AD12,
XS1_AD13,XS1,14,AD13,
XS1_AD14,XS1,15,AD14,
XS1_AD15,XS1,16,AD15,
MOBM,XS1,17,МОБМ,
MD,XS1,18,МD,
MACV,XS1,19,МАЦВ,
MDCHT,XS1,20,МDЧТ,
VAD,XS1,21,ВАД,
PMV,XS1,22,ПМВ,
MUST,XS1,23,МУСТ,reset
IRQ30A,XS1,24,30А,
IRQ30B,XS1,25,30Б,
OPV,XS1,26,ОПВ,
# --- decode / ready glue (л.1 top, read at 2x zoom); '?' = wire not followed to its label ---
# D3 = К155ЛН1 hex inverter (per symbol), D25 = К155ЛИ1 (AND), D32 = К155ЛЛ1 (OR), D80 = К155ЛН1, D81 = К155ЛА2 (8-in NAND), D24 = OR-type (ЛЛ1?), D41 = OR-type (?)
DEN,D3,3,IN,D3.2 input <- D18.DEN
DEN_N,D3,4,OUT,D3.2 -> D26/D27 EØ (pin 9) - transceiver enable
LB.7,D26,1,A0,AD00
LB.8,D26,2,A1,AD01
LB.9,D26,3,A2,AD02
LB.10,D26,4,A3,AD03
LB.11,D26,5,A4,AD04
LB.12,D26,6,A5,AD05
LB.13,D26,7,A6,AD06
LB.14,D26,8,A7,AD07
MD.22,D26,19,B0,D0
MD.23,D26,18,B1,D1
MD.24,D26,17,B2,D2
MD.25,D26,16,B3,D3
MD.26,D26,15,B4,D4
MD.27,D26,14,B5,D5
MD.28,D26,13,B6,D6
MD.29,D26,12,B7,D7
LB.15,D27,1,A0,AD08
LB.16,D27,2,A1,AD09
LB.17,D27,3,A2,AD10
LB.18,D27,4,A3,AD11
LB.19,D27,5,A4,AD12
LB.20,D27,6,A5,AD13
LB.21,D27,7,A6,AD14
LB.22,D27,8,A7,AD15
MD.30,D27,19,B0,D8
MD.31,D27,18,B1,D9
MD.32,D27,17,B2,D10
MD.33,D27,16,B3,D11
MD.34,D27,15,B4,D12
MD.35,D27,14,B5,D13
MD.36,D27,13,B6,D14
MD.37,D27,12,B7,D15
DEN_N,D26,9,OE,? per function
DEN_N,D27,9,OE,?
DTR,D26,11,T,direction <- D18.DT/R ?
DTR,D27,11,T,?
G53,D81,3,IN,nets 53 (four inputs bridged)
G53,D81,4,IN,
G53,D81,5,IN,
G53,D81,12,IN,
SEL.50,D81,11,IN,<- label 50 (tracer end at the label)
G81_2,D81,2,IN,? from the left (tracer: reaches the D18 box bottom edge)
D47_Q0,D81,1,IN,wire-traced on strip 2: <- D47 Q0
SEL.43,D81,6,IN,wire-traced: <- D32.2 out (net 43)
RDY2,D81,8,OUT,-> D4.RDY2 (pin 6)
SEL.45,D32,12,IN,D32.3
SEL.46,D32,13,IN,D32.3
G32_3,D32,11,OUT,D32.3 -> D80.2
G32_3,D80,3,IN,D80.2
G32_3N,D80,4,OUT,D80.2 -> D41.1.5 / D41.2.2
G32_3N,D41,5,IN,D41.1
G32_3N,D41,2,IN,D41.2
G41_4,D41,4,IN,D41.1 ? wire leaves strip 1 to the right
SEL.48,D41,6,OUT,D41.1 -> net 48
IB.18,D41,1,IN,D41.2 <- label 18 (= SEL.51, D24.2 out)
SEL.49,D41,3,OUT,D41.2 -> net 49
GND,D24,12,IN,D24.4 second input grounded (used as buffer)
G24_13,D24,13,IN,D24.4 ? from top run
G24_11,D24,11,OUT,D24.4 -> leaves strip 1 to the right ?
IOWC,D25,13,IN,wire-traced: D25.4 <- IOWC
IORC,D25,12,IN,wire-traced: D25.4 <- IORC
G25_4o,D25,11,OUT,D25.4 -> D25.3.10 (strip 2)
IOWC,D25,1,IN,wire-traced: D25.1 <- IOWC
G32_1o,D25,2,IN,wire-traced: D25.1 <- D32.1 out
SEL.44,D25,3,OUT,D25.1 -> bottom label 44/2 ?
SEL.39,D32,1,IN,wire-traced: D32.1 <- MWTC
G32_1b,D32,2,IN,D32.1 ?
G32_1o,D32,3,OUT,D32.1 ?
D16_4_OUT,D32,4,IN,wire-traced on strip 2: D32.2 <- D16.4 out
SEL.40,D32,5,IN,wire-traced: D32.2 <- MRDC
SEL.43,D32,6,OUT,D32.2 -> bottom label 43/3 ?
